Statistical profiling result from isolate-0x38c31a0-3528-v8.log, (19686 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    392   39.8%    LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
    392  100.0%      Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
    392  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
    392  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
    392  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33

    864    4.4%  node::StringBytes::Encode(v8::Isolate*, char const*, unsigned long, node::encoding, v8::Local<v8::Value>*)
    864  100.0%    LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
    864  100.0%      Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
    864  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
    864  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
    864  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33

    347    1.8%  __libc_malloc
    217   62.5%    LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
    217  100.0%      Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
    217  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
    217  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
    217  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33
    120   34.6%    v8::internal::Builtin_ArrayBufferConstructor(int, unsigned long*, v8::internal::Isolate*)
    120  100.0%      LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
    120  100.0%        Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
    120  100.0%          LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
    120  100.0%            LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37

    319    1.6%  __GI___pthread_rwlock_unlock
    319  100.0%    LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
    319  100.0%      Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
    319  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
    319  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
    319  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33

    255    1.3%  __write
     43   16.9%    /home/moniz/.nvm/versions/node/v12.11.1/bin/node
      3    7.0%      LazyCompile: ~prepareMainThreadExecution internal/bootstrap/pre_execution.js:9:36
      3  100.0%        Eval: ~<anonymous> internal/main/run_main_module.js:1:1
      2    4.7%      LazyCompile: ~realpathSync fs.js:1459:22
      2  100.0%        LazyCompile: ~toRealPath internal/modules/cjs/loader.js:331:20
      2  100.0%          LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:458:28
      2  100.0%            LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:725:35
      2    4.7%      LazyCompile: ~Console.<computed> internal/console/constructor.js:210:46
      2  100.0%        LazyCompile: ~log internal/console/constructor.js:281:6
      2  100.0%          node::inspector::(anonymous namespace)::InspectorConsoleCall(v8::FunctionCallbackInfo<v8::Value> const&)
      2  100.0%            LazyCompile: ~log /mnt/d/work/play/jsp/src/instancely.js:13:13
      2    4.7%      LazyCompile: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:7:28
      2  100.0%        LazyCompile: ~listOnTimeout internal/timers.js:480:25
      2  100.0%          LazyCompile: ~processTimers internal/timers.js:460:25
      1    2.3%      LazyCompile: ~update internal/crypto/hash.js:63:40
      1  100.0%        LazyCompile: ~startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
      1  100.0%          Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
      1  100.0%            LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
      1    2.3%      LazyCompile: ~toString buffer.js:741:46
      1  100.0%        LazyCompile: ~readFileSync fs.js:350:22
      1  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
      1  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33
      1    2.3%      LazyCompile: ~setupSignalHandlers internal/bootstrap/pre_execution.js:159:29
      1  100.0%        LazyCompile: ~prepareMainThreadExecution internal/bootstrap/pre_execution.js:9:36
      1  100.0%          Eval: ~<anonymous> internal/main/run_main_module.js:1:1
      1    2.3%      LazyCompile: ~setupProcessObject internal/bootstrap/node.js:319:28
      1  100.0%        Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      1    2.3%      LazyCompile: ~readFileSync fs.js:350:22
      1  100.0%        LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
      1  100.0%          LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33
      1  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:666:24
      1    2.3%      LazyCompile: ~processTicksAndRejections internal/process/task_queues.js:65:35
      1    2.3%      LazyCompile: ~nextTick internal/process/task_queues.js:101:18
      1  100.0%        LazyCompile: ~onwrite _stream_writable.js:459:17
      1  100.0%          LazyCompile: ~afterWriteDispatched internal/stream_base_commons.js:145:30
      1  100.0%            LazyCompile: ~writeGeneric internal/stream_base_commons.js:137:22
      1    2.3%      LazyCompile: ~listOnTimeout internal/timers.js:480:25
      1  100.0%        LazyCompile: ~processTimers internal/timers.js:460:25
      1    2.3%      LazyCompile: ~isEncoding buffer.js:505:40
      1  100.0%        LazyCompile: ~assertEncoding internal/fs/utils.js:72:24
      1  100.0%          LazyCompile: ~getOptions internal/fs/utils.js:181:20
      1  100.0%            LazyCompile: ~readFileSync fs.js:350:22
      1    2.3%      LazyCompile: ~insert internal/timers.js:305:16
      1  100.0%        LazyCompile: ~active internal/timers.js:291:16
      1  100.0%          LazyCompile: ~setInterval timers.js:162:21
